Наименование;"Наименование артикула";Артикул;Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Интернет-магазин";"В наличии @Москва";"В наличии @Питер";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Дополнительные параметры";"Длина доски";"Размер обуви";Цвет;"Размер одежды";"Формат кадра";"Тип видоискателя";"Тип карт памяти";Байонет;"Тип матрицы";"Баланс белого";"Число мегапикселов матрицы";"Тип штатива";"Максимальная высота съемки";"Тип головки";"Тип объектива";"Фокусное расстояние";"Совместимые фотоаппараты";"Тип вспышки";Крепление;"Скорость съемки (кадр/сек)";Кроп-фактор;"Форматы изображения";Интерфейсы;"Стиль катания";"Уровень жесткости";"Минимальная высота руля (от платформы)";"Размеры в сложенном виде";"Колесная база";"Диаметр колеса";Тормоза;Руль;Ручки;Рама;Колеса;Платформа;"Максимальная высота руля (от платформы)";"Ширина платформы";"Длина платформы";"Максимальная нагрузка";"Вес (без заднего тормоза и аксессуаров)";"Тип экрана";Диагональ;"Разрешение экрана";HD-формат;"Поддержка 3D";"Вход HDMI";"Интерфейс USB";"Доступ в интернет (Smart TV)";DVB-T2;"Поддержка HDTV";"Возможность крепления на стену";"Формат экрана";Стереозвук;Вес;"Частота обновления ";"Интерфейс Ethernet ";"Поддержка Wi-Fi";Bluetooth;"Поддержка Skype";"Мощность звука";LED-подсветка;"Угол обзора";"Прогрессивная развертка";"Поддерживаемые форматы";Размеры;Производитель;"Вес велосипеда";MP3-проигрыватель;"Емкость аккумулятора";Процессор;ГЛОНАСС;GPS-модуль;Wi-Fi;"Поддержка 3G (UMTS)";"Слот для карты памяти";"Объем встроенной памяти";"Сенсорный экран";"Диагональ экрана";"Количество SIM-карт";"Тип корпуса";Платформа;"Тип устройства";Марка/Модель;Код;"Операционная система";"Тип SIM-карты";"Дополнительная информация";"Модельный год";"Количество скоростей";"Передний тормоз";"Задний тормоз";Высота;"Размер (детский)";"Материал рамы";"Конструкция вилки";"Ход вилки ";Женский;Складной;Амортизация;"Тип дорожного велосипеда";"Тип MTB";"Область применения";"Цвет оправы";"Материал обуви";"Цвет рамы";"Размер рамы";"Оригинальный номер";"Код производителя";"Страна происхождения";Ед.;"Цвет линзы";Пол;"Материал оправы";Затемнение;"Флексы на дужках";Поляризация;"Вид наушников";"Тип подключения";Микрофон;"Система активного шумоподавления";"Тип акустического оформления";"Регулятор громкости";"Поддержка iPhone";"Тип наушников";"Тип крепления";"Чехол/футляр в комплекте";"Разъем наушников";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Sony KDL-42W653A";;;RUB;26000;1;0;21999;86;;;;"W65 LED-телевизор<br/>Качественный телевизор для любого";"<p><strong>Телевизор с технологией Edge LED, Full HD (1080p), технологией X-Reality PRO, беспроводным зеркальным отражением экрана и Motionflow XR 200 Гц</strong></p><ul><li>Технология X-Reality PRO представляет все ближе к разрешению Full HD</li><li>Смотрите фотографии и видео со смартфона на своем телевизоре</li><li>Откройте для себя мир музыки, фильмов, телевизионных программ и приложений</li></ul>";;1;Телевизоры;Sony;;Sony;Sony;Sony;kdl-42w653a;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ЖК;"<{""107 см 42""""""}>";1920x1080;"1080p (Full HD)";;Да;Да;Да;Да;Да;Да;16:9;Да;;"200 Гц";Да;Да;;Да;"16 Вт";Да;178;Да;"MP3, WMA, MPEG4, DivX, MKV, JPEG";;Sony;;;;;;;;;;;;;;;;;;;;;"Motionflow XR 200; PAP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/470/470.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/768/768.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/455/455.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/454/454.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/456/456.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/457/457.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/458/458.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/459/459.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/460/460.970.jpeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sony KDL-42W653A";"107 см 42""";;RUB;26000;1;0;21999;86;1;42;43;"W65 LED-телевизор<br/>Качественный телевизор для любого";"<p><strong>Телевизор с технологией Edge LED, Full HD (1080p), технологией X-Reality PRO, беспроводным зеркальным отражением экрана и Motionflow XR 200 Гц</strong></p><ul><li>Технология X-Reality PRO представляет все ближе к разрешению Full HD</li><li>Смотрите фотографии и видео со смартфона на своем телевизоре</li><li>Откройте для себя мир музыки, фильмов, телевизионных программ и приложений</li></ul>";;1;Телевизоры;Sony;;Sony;Sony;Sony;kdl-42w653a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ЖК;"107 см 42""";1920x1080;"1080p (Full HD)";;;;;;;;16:9;;;;;;;;;;;;;;Sony;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/470/470.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/768/768.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/455/455.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/454/454.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/456/456.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/457/457.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/458/458.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/459/459.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/91/01/191/images/460/460.970.jpeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sony KDL-42W654";;;RUB;25899;1;0;0;125;45;35;45;"Телевизор с технологией Edge LED, Full HD (1080p), технологией X-Reality PRO, беспроводным зеркальным отражением экрана и Motionflow XR 200 Гц";"<ul><li><strong>Любое изображение выглядит лучше</strong>&nbsp;- Что бы вы ни смотрели — онлайн-видео или прямую трансляцию спортивного матча, технология X-Reality PRO приближает качество изображения к Full HD</li><li><strong>Контент суперразмера со смартфона</strong>&nbsp;- Технология зеркального отображения экрана, Screen mirroring*, обеспечивает беспроводное подключение смартфона к телевизору для просмотра видео, фотографий и многого другого на большом экране</li><li><strong>Откройте мир онлайн-развлечений</strong>&nbsp;- Потоковая передача фильмов, музыки и видео из Интернета, доступ к приложениям и социальным сетям, благодаря сети развлечений, Sony Entertainment Network</li><li><strong>Получите больше от каждого эпизода</strong>&nbsp;- Технология TV SideView не только позволяет использовать смартфон или планшет как пульт управления, но и узнать больше о том, что вы смотрите</li><li><strong>Заявите о себе, купив телевизор с дизайном Sense of Quartz</strong>&nbsp;- Смелый дизайн нашего последнего телевизора вдохновлен сверканием граненых поверхностей кристалла кварца</li><li><strong>Возможности подсветки</strong>&nbsp;- Перемещаемые над круглой подставкой, эти телевизоры имеют интеллектуальное ядро, которое меняет цвет в соответствии источником контента.</li><li><strong>Оживите свои фотографии, используя подсветку Edge LED</strong>&nbsp;- Светодиоды вдоль края экрана телевизора направляют свет на нужные участки, обогащая цвета и повышая контрастность.</li><li><strong>Наслаждайтесь чистым звуком широкого диапазона</strong>&nbsp;- АС Bass Reflex Box распространяют звуки низких частот до глубоких басов и обеспечивают четкое звучание высоких звуков.</li><li><strong>Плавное действие, благодаря Motionflow XR 200&nbsp;Гц</strong>&nbsp;- Спортивные соревнования и сцены с быстрым движением будут выглядеть более плавными и резкими, благодаря возможности выбора режимов просмотра, подходящих для разных программ</li><li><strong>Закрепите свой телевизор на стене без дополнительных кронштейнов</strong>&nbsp;- Подставка телевизора может использоваться как кронштейн для крепления к стене, поэтому вам не придется отдельно покупать кронштейн</li></ul><p>* - Технология зеркального отображения экрана, Screen mirroring, совместима с мобильными устройствами Miracast™ с сертификацией Wi-Fi.<br/>Страна происхождения: Малайзия</p>";;1;Телевизоры;Sony;;Sony;Sony;Sony;kdl-42w654;;;;серый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ЖК;"107 см 42""";1920x1080;"1080p (Full HD)";;Да;Да;Да;Да;Да;Да;16:9;Да;"11 кг";"200 Гц";Да;Да;;Да;"10 Вт";Да;178;Да;"MP3, WMA, MPEG4, Xvid, MKV, JPEG";"954 × 0 × 0 м";Sony;;;;;;;;;;;;;;;;;;;;;"Motionflow XR 200";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/99/01/199/images/516/516.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/99/01/199/images/513/513.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/99/01/199/images/510/510.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/99/01/199/images/515/515.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/99/01/199/images/511/511.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/99/01/199/images/514/514.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sony KDL-42W808A";;;RUB;42900;1;0;0;56;4;26;26;"W8 LED-телевизор<br/>Улучшенное качество изображения соответствует возможности умного подключения";"<p><strong>3D-телевизор Full HD (1080p) с технологией X-Reality PRO и зеркальным отображением в одно касание с NFC</strong></p><ul><li>Смотрите на телевизоре контент со смартфона, сделав одно касание</li><li>Технология X-Reality PRO представляет все ближе к разрешению Full HD</li><li>Заявите о себе, купив телевизор с дизайном Sense of Quartz</li></ul>";;1;Телевизоры;Sony;;Sony;Sony;Sony;kdl-42w808a;;;;серый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ЖК;"107 см 42""";1920x1080;"1080p (Full HD)";Да;Да;Да;Да;Да;Да;Да;16:9;Да;"14.4 кг";"400 Гц";Да;Да;;Да;"20 Вт";Да;178;Да;"MP3, WMA, MPEG4, MKV, JPEG";"971 × 0 × 0 м";Sony;;;;;;;;;;;;;;;;;;;;;"трансляция изображения с экрана смартфона доступна на экране телевизора через пульт ДУ; Motionflow XR 400; Wi-Fi Direct";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/94/01/194/images/485/485.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/94/01/194/images/484/484.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/94/01/194/images/483/483.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/94/01/194/images/482/482.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/94/01/194/images/481/481.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/94/01/194/images/480/480.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/94/01/194/images/479/479.970.jpeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sony KDL-55W905";;;RUB;89900;1;0;0;125;5;25;95;"W9 LED-телевизор с экраном Triluminos<br/>Еще больше цветов";"<p><strong>3D-телевизор Full HD (1080p) с экраном Triluminos, технологией X-Reality PRO и зеркальным отображением одним касанием с NFC</strong></p><ul><li>Почувствуйте новую жизнь в цвете на своем телевизоре</li><li>Смотрите на телевизоре контент со смартфона, сделав одно касание</li><li>Заявите о себе, купив телевизор с дизайном Sense of Quartz</li></ul>";;1;Телевизоры;Sony;;Sony;Sony;Sony;kdl-55w905;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ЖК;"140 см 55""";1920x1080;"1080p (Full HD)";Да;Да;Да;Да;Да;Да;Да;16:9;Да;"22 кг";"800 Гц";Да;Да;;Да;"20 Вт";Да;178;Да;"MP3, WMA, MPEG4, Xvid, MKV, JPEG";"1241 × 0 × 0 м";Sony;;;;;;;;;;;;;;;;;;;;;"Motionflow XR 800; Wi-Fi Direct; NFC one-touch mirroring; 4 пары 3D-очков в комплекте; Local Dimming";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/96/01/196/images/493/493.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/96/01/196/images/492/492.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/96/01/196/images/491/491.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/96/01/196/images/490/490.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/96/01/196/images/489/489.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/96/01/196/images/488/488.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/96/01/196/images/487/487.970.jpeg;http://demo-ru.webasyst.com/wa-data/public/shop/products/96/01/196/images/486/486.970.jpeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сноуборды;;;;;;;;;;;;;"Самые популярные модели сезона 12—13 по низким ценам.";;1;;;;;;;snowboards;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Antler";154.5;antler-154.5;RUB;20850;1;22150;0;13;5;5;3;;;;1;Сноуборды;{экстрим,борд,доска};;;;;antler;;{151.5,154.5,157.5,160.5};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/00/25/images/230/230.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/00/25/images/231/231.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/00/25/images/232/232.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/00/25/images/233/233.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Antler";151.5;antler-151.5;RUB;20650;1;21950;0;5;0;3;2;;;;1;Сноуборды;;;;;;antler;;151.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Antler";157.5;antler-157.5;RUB;21050;1;22350;0;10;6;1;3;;;;1;Сноуборды;;;;;;antler;;157.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Antler";160.5;antler-160.5;RUB;21250;1;22550;0;25;23;0;2;;;;1;Сноуборды;;;;;;antler;;160.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Barracuda";149;barracuda-149;RUB;18400;1;0;0;17;2;6;9;;;;1;Сноуборды;{экстрим,борд,доска};;;;;barracuda;;{149,153,157,161,165,169};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/24/00/24/images/234/234.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Barracuda";153;barracuda-153;RUB;18600;1;0;0;48;45;1;2;;;;1;Сноуборды;;;;;;barracuda;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Barracuda";157;barracuda-157;RUB;18800;1;0;0;8;0;3;5;;;;1;Сноуборды;;;;;;barracuda;;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Barracuda";161;barracuda-161;RUB;19000;1;0;0;15;8;1;6;;;;1;Сноуборды;;;;;;barracuda;;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Barracuda";165;barracuda-165;RUB;19200;1;0;0;10;6;0;4;;;;1;Сноуборды;;;;;;barracuda;;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Barracuda";169;barracuda-169;RUB;19400;1;0;0;80;76;2;2;;;;1;Сноуборды;;;;;;barracuda;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom Flying V";148;custom-flying-v-148;RUB;17200;1;18300;0;10;0;2;8;;;;1;Сноуборды;{экстрим,борд,доска};;;;;custom-flying-v;;{148,151,154,156,158,160,163,155W,158W,162W,169W};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/210/210.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/211/211.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/212/212.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/213/213.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/214/214.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/215/215.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/216/216.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/217/217.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/218/218.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/219/219.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/00/23/images/220/220.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom Flying V";151;custom-flying-v-151;RUB;17400;1;18500;0;7;0;4;3;;;;1;Сноуборды;;;;;;custom-flying-v;;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom Flying V";154;custom-flying-v-154;RUB;17600;1;18700;0;8;0;6;2;;;;1;Сноуборды;;;;;;custom-flying-v;;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom Flying V";156;custom-flying-v-156;RUB;17800;1;18900;0;3;1;1;1;;;;1;Сноуборды;;;;;;custom-flying-v;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom X";152;custom-x-152;RUB;19800;1;20920;1499;13;0;9;4;"Фристайловый сноуборд профессионального уровня, готовый к самым жестким испытаниям как в сноу-парке, так и на склоне горы. Лучшая модель сезона 2012—2013.";;;1;Сноуборды;{экстрим,борд,доска};;;;;custom-x;;{152,156,158,160,164,159W,162W,164W};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/222/222.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/223/223.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/224/224.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/225/225.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/226/226.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/227/227.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/228/228.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/229/229.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/299/299.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom X";156;custom-x-156;RUB;20000;1;21120;0;16;0;4;12;;;;1;Сноуборды;;;;;;custom-x;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom X";158;custom-x-158;RUB;20200;1;21320;0;16;5;8;3;;;;1;Сноуборды;;;;;;custom-x;;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom X";160;custom-x-160;RUB;20400;1;21520;0;9;4;4;1;;;;1;Сноуборды;;;;;;custom-x;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom X";164;custom-x-164;RUB;20600;1;21720;0;12;1;0;11;;;;1;Сноуборды;;;;;;custom-x;;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom X";159W;custom-x-159W;RUB;20800;1;21920;0;11;0;9;2;;;;1;Сноуборды;;;;;;custom-x;;159W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom X";162W;custom-x-162W;RUB;21000;1;22120;0;15;9;3;3;;;;1;Сноуборды;;;;;;custom-x;;162W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Custom X";164W;custom-x-164W;RUB;21200;1;22320;0;81;65;9;7;;;;1;Сноуборды;;;;;;custom-x;;164W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
